time,rcp2013,rcp45,rcp45_nointer,rcp45_nolife,rcp85,rcp85_nointer,rcp85_nolife,res_2013,res_rcp45,res_rcp45_nointer,res_rcp45_nolife,res_rcp85,res_rcp85_nointer,res_rcp85_nolife,,,,res_2013,res_rcp45,res_rcp45_nointer,res_rcp45_nolife,res_rcp85,res_rcp85_nointer,res_rcp85_nolife
63.8,0.999906322,0.99164186,0.99999191,0.999992253,0.999986605,0.999989095,0.999970524,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
63.9,0.999907692,0.991653738,0.999991947,0.999992264,0.999986667,0.99998915,0.999970677,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
64,0.999909073,0.991665179,0.999991983,0.999992274,0.999986728,0.999989205,0.999970828,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
64.1,0.999910462,0.991676185,0.999992019,0.999992285,0.999986789,0.999989259,0.999970978,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
64.2,0.999911859,0.991686757,0.999992055,0.999992295,0.99998685,0.999989314,0.999971126,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
64.3,0.99991326,0.991696897,0.999992091,0.999992306,0.99998691,0.999989367,0.999971273,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
64.4,0.999914665,0.991706607,0.999992126,0.999992317,0.999986969,0.999989421,0.999971419,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
64.5,0.999916072,0.991715888,0.999992161,0.999992328,0.999987029,0.999989473,0.999971563,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
64.6,0.999917479,0.991724743,0.999992196,0.999992339,0.999987087,0.999989526,0.999971706,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
64.7,0.999918884,0.991733176,0.999992231,0.99999235,0.999987146,0.999989578,0.999971848,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
64.8,0.999920286,0.991741188,0.999992266,0.999992361,0.999987204,0.99998963,0.999971989,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
64.9,0.999921682,0.991748783,0.9999923,0.999992372,0.999987261,0.999989681,0.999972128,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
65,0.999923072,0.991755964,0.999992334,0.999992383,0.999987318,0.999989732,0.999972266,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
65.1,0.999924454,0.991762735,0.999992368,0.999992394,0.999987375,0.999989783,0.999972403,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
65.2,0.999925826,0.991769098,0.999992402,0.999992405,0.999987431,0.999989833,0.999972538,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
65.3,0.999927186,0.991775059,0.999992436,0.999992416,0.999987487,0.999989883,0.999972672,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
65.4,0.999928533,0.991780621,0.99999247,0.999992428,0.999987543,0.999989932,0.999972805,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
65.5,0.999929866,0.991785789,0.999992503,0.999992439,0.999987599,0.999989982,0.999972937,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
65.6,0.999931183,0.991790566,0.999992536,0.99999245,0.999987654,0.999990031,0.999973068,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
65.7,0.999932483,0.991794959,0.999992569,0.999992461,0.999987708,0.999990079,0.999973197,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
