time,sp,w,value,scenario
100,Lophius americanus,0.0135,556302.7023696543,rcp2013
100,Melanogrammus aeglefinus,0.0135,431953258.5988728,rcp2013
100,Merluccius bilinearis,0.0135,556987449.5439177,rcp2013
100,Myoxocephalus octodecemspinosus,0.0135,8617285.097367924,rcp2013
100,Paralichthys dentatus,0.0135,24894215.545580562,rcp2013
100,Pseudopleuronectes americanus,0.0135,65218558.90580345,rcp2013
100,Rostroraja eglanteria,0.0135,34429.634248096256,rcp2013
100,Squalus acanthias,0.0135,11461017161.608252,rcp2013
100,Urophycis chuss,0.0135,4086460.794863828,rcp2013
100,Urophycis tenuis,0.0135,14436758.257911399,rcp2013
100,Zoarces americanus,0.0135,405231475.5821963,rcp2013
100,Alosa pseudoharengus,0.0161,59145089.987363555,rcp2013
100,Alosa sapidissima,0.0161,11511681.028885748,rcp2013
100,Ammodytes dubius,0.0161,1556751119.2841678,rcp2013
100,Anchoa mitchilli,0.0161,641492.3403776876,rcp2013
100,Clupea harengus,0.0161,148270980880.34506,rcp2013
100,Gadus morhua,0.0161,38730423.900475964,rcp2013
100,Glyptocephalus cynoglossus,0.0161,3043257472.489013,rcp2013
100,Limanda ferruginea,0.0161,4316084667.441836,rcp2013
100,Lophius americanus,0.0161,493984.19796664454,rcp2013
100,Melanogrammus aeglefinus,0.0161,382874223.8900263,rcp2013
100,Merluccius bilinearis,0.0161,494036791.09956443,rcp2013
100,Myoxocephalus octodecemspinosus,0.0161,7651531.485261963,rcp2013
100,Paralichthys dentatus,0.0161,22193283.75096911,rcp2013
100,Pseudopleuronectes americanus,0.0161,57930821.78864728,rcp2013
100,Rostroraja eglanteria,0.0161,30687.544604006973,rcp2013
100,Squalus acanthias,0.0161,10106744354.117128,rcp2013
100,Urophycis chuss,0.0161,3627778.945656934,rcp2013
100,Urophycis tenuis,0.0161,12819685.249583034,rcp2013
100,Zoarces americanus,0.0161,357225080.6962694,rcp2013
100,Alosa pseudoharengus,0.0192,52513110.621390395,rcp2013
100,Alosa sapidissima,0.0192,10215414.198160045,rcp2013
